Date,Open,High,Low,Close,Volume,Adj Close
2016-09-14,0.15,0.15,0.15,0.15,000,0.15
2016-09-13,0.15,0.15,0.15,0.15,000,0.15
2016-09-12,0.15,0.15,0.15,0.15,000,0.15
2016-09-09,0.15,0.15,0.15,0.15,000,0.15
2016-09-08,0.15,0.15,0.15,0.15,12200,0.15
2016-09-07,0.145,0.145,0.145,0.145,000,0.145
2016-09-06,0.145,0.145,0.145,0.145,000,0.145
2016-09-05,0.145,0.145,0.145,0.145,000,0.145
2016-09-02,0.145,0.145,0.145,0.145,000,0.145
2016-09-01,0.145,0.145,0.145,0.145,000,0.145
2016-08-31,0.145,0.145,0.145,0.145,000,0.145
2016-08-30,0.145,0.145,0.145,0.145,245000,0.145
2016-08-29,0.145,0.145,0.145,0.145,52000,0.145
2016-08-26,0.15,0.15,0.15,0.15,7000,0.15
2016-08-25,0.155,0.155,0.155,0.155,5000,0.155
2016-08-24,0.15,0.15,0.15,0.15,1335000,0.15
2016-08-23,0.135,0.135,0.135,0.135,000,0.135
2016-08-22,0.135,0.135,0.135,0.135,30000,0.135
2016-08-19,0.14,0.14,0.14,0.14,000,0.14
2016-08-18,0.14,0.14,0.14,0.14,000,0.14
2016-08-17,0.14,0.14,0.14,0.14,3000,0.14
2016-08-16,0.15,0.15,0.145,0.145,63000,0.145
2016-08-15,0.16,0.16,0.16,0.16,000,0.16
2016-08-12,0.16,0.16,0.16,0.16,000,0.16
2016-08-11,0.16,0.16,0.16,0.16,000,0.16
2016-08-10,0.15,0.16,0.15,0.16,16000,0.16
2016-08-09,0.15,0.15,0.15,0.15,35000,0.15
2016-08-08,0.155,0.155,0.155,0.155,63000,0.155
2016-08-05,0.16,0.16,0.16,0.16,35000,0.16
2016-08-04,0.17,0.17,0.155,0.155,52000,0.155
2016-08-03,0.17,0.17,0.17,0.17,127700,0.17
2016-08-02,0.175,0.175,0.175,0.175,85000,0.175
2016-08-01,0.175,0.175,0.175,0.175,000,0.175
2016-07-29,0.175,0.175,0.175,0.175,000,0.175
2016-07-28,0.17,0.175,0.17,0.175,80000,0.175
2016-07-27,0.175,0.175,0.17,0.17,32000,0.17
2016-07-26,0.175,0.175,0.175,0.175,25000,0.175
2016-07-25,0.175,0.175,0.175,0.175,10500,0.175
2016-07-22,0.18,0.18,0.17,0.18,188500,0.18
2016-07-21,0.18,0.18,0.18,0.18,100000,0.18
2016-07-20,0.17,0.17,0.17,0.17,100000,0.17
2016-07-19,0.19,0.19,0.19,0.19,15000,0.19
2016-07-18,0.17,0.17,0.17,0.17,000,0.17
2016-07-15,0.17,0.17,0.17,0.17,000,0.17
2016-07-14,0.175,0.175,0.17,0.17,121500,0.17
2016-07-13,0.175,0.175,0.17,0.17,28500,0.17
2016-07-12,0.165,0.175,0.165,0.17,65500,0.17
2016-07-11,0.165,0.165,0.165,0.165,31500,0.165
2016-07-08,0.165,0.165,0.165,0.165,47500,0.165
2016-07-07,0.17,0.17,0.17,0.17,000,0.17
2016-07-06,0.165,0.17,0.165,0.17,210000,0.17
2016-07-05,0.16,0.16,0.16,0.16,000,0.16
2016-07-04,0.16,0.16,0.16,0.16,000,0.16
